X,time,showId,movieId,date,theaterId,price,auditorium
63814,5:30p,499296398,239338,2025-05-16,AANRQ, 6.96,3
63815,8:10p,499296411,239338,2025-05-16,AANRQ, 9.10,3
63816,2:50p,499296399,236623,2025-05-16,AANRQ, 6.96,3
63817,2:30p,499296405,237177,2025-05-16,AANRQ, 6.96,5
63818,5:00p,499296401,237177,2025-05-16,AANRQ, 6.96,2
63819,7:40p,499296403,237177,2025-05-16,AANRQ, 9.10,5
63820,3:00p,499296409,237956,2025-05-16,AANRQ, 6.96,1
63821,7:30p,499296406,237956,2025-05-16,AANRQ, 9.10,1
63822,2:40p,499296400,216995,2025-05-16,AANRQ, 6.96,2
63823,5:20p,499296404,216995,2025-05-16,AANRQ, 6.96,5
63824,7:50p,499296402,216995,2025-05-16,AANRQ, 9.10,2
63825,12:30p,498981196,239402,2025-05-16,AALPI, 7.48,5
63826,2:45p,498981197,239402,2025-05-16,AALPI, 7.48,5
63827,5:00p,498981198,239402,2025-05-16,AALPI, 7.48,5
63828,7:10p,498981199,239402,2025-05-16,AALPI,10.69,5
63829,9:20p,498981200,239402,2025-05-16,AALPI,10.69,5
63830,12:40p,498981229,239338,2025-05-16,AALPI, 7.48,2
63831,2:45p,498981230,239338,2025-05-16,AALPI, 7.48,2
63832,4:50p,498981231,239338,2025-05-16,AALPI, 7.48,2
63833,7:00p,498981232,239338,2025-05-16,AALPI,10.69,2
63834,9:10p,498981233,239338,2025-05-16,AALPI,10.69,2
63835,6:45p,499297812,236623,2025-05-16,AAMYP, 8.50,1
63836,7:00p,499297817,239291,2025-05-16,AAMYP, 8.50,2
63837,1:30p,499358010,239402,2025-05-16,AAYPE, 5.00,6
63838,4:10p,499358009,239402,2025-05-16,AAYPE, 5.00,6
63839,7:00p,499358007,239402,2025-05-16,AAYPE, 7.00,6
63840,9:40p,499358008,239402,2025-05-16,AAYPE, 7.00,6
63841,12:50p,499358036,236623,2025-05-16,AAYPE, 5.00,5
63842,10:00a,499358016,237177,2025-05-16,AAYPE, 5.00,3
63843,1:00p,499358015,237177,2025-05-16,AAYPE, 5.00,3
63844,4:00p,499358014,237177,2025-05-16,AAYPE, 5.00,3
63845,6:00p,499358012,237177,2025-05-16,AAYPE, 7.00,7
63846,7:00p,499358011,237177,2025-05-16,AAYPE, 7.00,3
63847,8:50p,499358013,237177,2025-05-16,AAYPE, 7.00,7
63848,9:50p,499358033,237177,2025-05-16,AAYPE, 7.00,3
63849,12:20p,499358037,239552,2025-05-16,AAYPE, 5.00,7
63850,3:40p,499358035,239552,2025-05-16,AAYPE, 5.00,5
63851,6:50p,499358032,239552,2025-05-16,AAYPE, 7.00,5
63852,9:00p,499358031,239552,2025-05-16,AAYPE, 7.00,4
63853,3:30p,499358034,239214,2025-05-16,AAYPE, 5.00,7
63854,10:00p,499358030,239214,2025-05-16,AAYPE, 7.00,5
63855,10:30a,499358025,240066,2025-05-16,AAYPE, 5.00,4
63856,1:10p,499358024,240066,2025-05-16,AAYPE, 5.00,4
63857,3:50p,499358023,240066,2025-05-16,AAYPE, 5.00,4
63858,6:30p,499358022,240066,2025-05-16,AAYPE, 7.00,4
63859,11:40a,499358029,237956,2025-05-16,AAYPE, 5.00,2
63860,2:50p,499358028,237956,2025-05-16,AAYPE, 5.00,2
63861,6:00p,499358026,237956,2025-05-16,AAYPE, 7.00,2
63862,9:10p,499358027,237956,2025-05-16,AAYPE, 7.00,2
63863,11:00a,499358038,239393,2025-05-16,AAYPE, 5.00,6
63864,11:00a,499358021,216995,2025-05-16,AAYPE, 5.00,1
63865,1:30p,499358020,216995,2025-05-16,AAYPE, 5.00,1
63866,4:00p,499358019,216995,2025-05-16,AAYPE, 5.00,1
63867,6:30p,499358017,216995,2025-05-16,AAYPE, 7.00,1
63868,9:00p,499358018,216995,2025-05-16,AAYPE, 7.00,1
63869,3:00p,499504564,237177,2025-05-16,AAPZR, 5.00,1
63870,6:30p,499504561,237177,2025-05-16,AAPZR, 7.00,2
